,Year,NA_Sales,Name,ESRB_Rating,Genre,sales_pct
218,1997,0.02,Crypt Killer,T,Shooter,0.03591954022988505
219,1997,0.02,Darklight Conflict,E,Simulation,0.03591954022988505
220,1997,0.02,Dragon Ball GT: Final Bout,T,Fighting,0.03591954022988505
221,1997,0.02,Grand Slam,E,Sports,0.03591954022988505
222,1997,0.02,Herc's Adventures,E,Adventure,0.03591954022988505
223,1997,0.02,Lethal Enforcers I & II,M,Shooter,0.03591954022988505
224,1997,0.02,Namco Museum Vol.4,E,Misc,0.03591954022988505
225,1997,0.02,Namco Museum Vol.5,E,Misc,0.03591954022988505
226,1997,0.02,PO'ed,M,Shooter,0.03591954022988505
227,1997,0.02,Peak Performance,E,Racing,0.03591954022988505
228,1997,0.02,PowerSlave,M,Shooter,0.03591954022988505
229,1997,0.02,Rush Hour,E,Racing,0.03591954022988505
230,1997,0.02,Syndicate Wars,T,Strategy,0.03591954022988505
231,1997,0.03,Broken Helix,M,Action,0.05387931034482759
232,1997,0.03,NBA Hangtime,E,Sports,0.05387931034482759
233,1997,0.03,NHL Powerplay 98,E,Sports,0.05387931034482759
234,1997,0.03,Wayne Gretzky's 3D Hockey '98,E,Sports,0.05387931034482759
235,1997,0.04,Buster Bros. Collection,E,Puzzle,0.07183908045977011
236,1997,0.04,Fantastic Four,E,Action,0.07183908045977011
237,1997,0.04,Norse by Norsewest: The Return of the Lost Vikings,E,Action,0.07183908045977011
238,1997,0.04,Pandemonium 2,E,Platform,0.07183908045977011
239,1997,0.04,Ray Tracers,E,Racing,0.07183908045977011
240,1997,0.04,RayStorm,E,Shooter,0.07183908045977011
241,1997,0.04,TigerShark,E,Simulation,0.07183908045977011
242,1997,0.05,Codename Tenka,M,Shooter,0.08979885057471265
243,1997,0.05,Descent Maximum,T,Shooter,0.08979885057471265
244,1997,0.05,Porsche Challenge,E,Racing,0.08979885057471265
245,1997,0.05,Shadow Master,T,Adventure,0.08979885057471265
246,1997,0.05,Wing Commander IV: The Price of Freedom,T,Simulation,0.08979885057471265
247,1997,0.06,Battle Arena Toshinden 3,T,Fighting,0.10775862068965518
248,1997,0.06,Formula 1 Championship Edition,E,Racing,0.10775862068965518
249,1997,0.06,Ghost in the Shell,T,Simulation,0.10775862068965518
250,1997,0.06,Hexen: Beyond Heretic,M,Shooter,0.10775862068965518
251,1997,0.06,Mass Destruction,T,Shooter,0.10775862068965518
252,1997,0.06,Maximum Force,M,Shooter,0.10775862068965518
253,1997,0.06,Micro Machines V3,E,Racing,0.10775862068965518
254,1997,0.06,Ogre Battle Saga Episode Five: The March of the Black Queen,E,Role-Playing,0.10775862068965518
255,1997,0.07,Clock Tower,M,Adventure,0.1257183908045977
256,1997,0.07,Magic: The Gathering - Battlemage,T,Strategy,0.1257183908045977
257,1997,0.07,Nagano Winter Olympics '98,E,Sports,0.1257183908045977
258,1997,0.08,Bravo Air Race,E,Racing,0.14367816091954022
259,1997,0.08,NCAA Basketball Final Four 97,E,Sports,0.14367816091954022
260,1997,0.08,NHL Breakaway 98,E,Sports,0.14367816091954022
261,1997,0.08,Thunder Truck Rally,E,Racing,0.14367816091954022
262,1997,0.09,Chameleon Twist,E,Platform,0.16163793103448276
263,1997,0.09,Courier Crisis,E,Racing,0.16163793103448276
264,1997,0.09,Dynasty Warriors,T,Action,0.16163793103448276
265,1997,0.09,International Superstar Soccer 64,E,Sports,0.16163793103448276
266,1997,0.09,The Incredible Hulk: The Pantheon Saga,E,Action,0.16163793103448276
267,1997,0.1,Treasures of the Deep,T,Action,0.1795977011494253
268,1997,0.11,F1 Pole Position 64,E,Racing,0.19755747126436785
269,1997,0.12,Dark Rift,T,Fighting,0.2155172413793104
270,1997,0.13,Alundra,T,Role-Playing,0.2334770114942529
271,1997,0.13,Armored Core,T,Simulation,0.2334770114942529
272,1997,0.13,Critical Depth,T,Action,0.2334770114942529
273,1997,0.13,G-Police,E,Action,0.2334770114942529
274,1997,0.13,Intelligent Qube,E,Puzzle,0.2334770114942529
275,1997,0.14,FIFA: Road to World Cup 98,E,Sports,0.2514367816091954
276,1997,0.14,Spawn the Eternal,M,Action,0.2514367816091954
277,1997,0.14,Vandal Hearts,M,Role-Playing,0.2514367816091954
278,1997,0.15,AeroFighters Assault,E,Action,0.269396551724138
279,1997,0.15,FIFA: Road to World Cup 98,E,Sports,0.269396551724138
280,1997,0.15,Hexen,M,Shooter,0.269396551724138
281,1997,0.15,Mace: The Dark Age,M,Fighting,0.269396551724138
282,1997,0.16,Ace Combat 2,T,Simulation,0.28735632183908044
283,1997,0.16,FIFA Soccer 64,E,Sports,0.28735632183908044
284,1997,0.16,Rage Racer,E,Racing,0.28735632183908044
285,1997,0.16,Snowboard Kids,E,Sports,0.28735632183908044
286,1997,0.16,VMX Racing,E,Racing,0.28735632183908044
287,1997,0.17,Cart World Series,E,Racing,0.30531609195402304
