Name,Genre,ESRB_Rating,Platform,Global_Sales,NA_Sales,Year
Wing Commander IV: The Price of Freedom,Simulation,T,PS,0.09,0.05,1997
Micro Machines V3,Racing,E,PS,0.1,0.06,1997
Formula 1 Championship Edition,Racing,E,PS,0.36,0.06,1997
Ogre Battle Saga Episode Five: The March of the Black Queen,Role-Playing,E,PS,0.2,0.06,1997
Maximum Force,Shooter,M,PS,0.11,0.06,1997
Hexen: Beyond Heretic,Shooter,M,PS,0.11,0.06,1997
Battle Arena Toshinden 3,Fighting,T,PS,0.27,0.06,1997
Mass Destruction,Shooter,T,PS,0.11,0.06,1997
Ghost in the Shell,Simulation,T,PS,0.1,0.06,1997
Nagano Winter Olympics '98,Sports,E,PS,0.13,0.07,1997
Clock Tower,Adventure,M,PS,0.53,0.07,1997
Magic: The Gathering - Battlemage,Strategy,T,PS,0.12,0.07,1997
Thunder Truck Rally,Racing,E,PS,0.14,0.08,1997
Bravo Air Race,Racing,E,PS,0.14,0.08,1997
NCAA Basketball Final Four 97,Sports,E,PS,0.14,0.08,1997
NHL Breakaway 98,Sports,E,PS,0.14,0.08,1997
The Incredible Hulk: The Pantheon Saga,Action,E,PS,0.16,0.09,1997
Chameleon Twist,Platform,E,N64,0.11,0.09,1997
Courier Crisis,Racing,E,PS,0.15,0.09,1997
International Superstar Soccer 64,Sports,E,N64,0.6,0.09,1997
Dynasty Warriors,Action,T,PS,0.27,0.09,1997
Treasures of the Deep,Action,T,PS,0.19,0.1,1997
F1 Pole Position 64,Racing,E,N64,0.25,0.11,1997
Dark Rift,Fighting,T,N64,0.15,0.12,1997
G-Police,Action,E,PS,0.24,0.13,1997
Intelligent Qube,Puzzle,E,PS,1.22,0.13,1997
Critical Depth,Action,T,PS,0.23,0.13,1997
Alundra,Role-Playing,T,PS,0.23,0.13,1997
Armored Core,Simulation,T,PS,0.41,0.13,1997
FIFA: Road to World Cup 98,Sports,E,PS,0.73,0.14,1997
Spawn the Eternal,Action,M,PS,0.24,0.14,1997
Vandal Hearts,Role-Playing,M,PS,0.45,0.14,1997
AeroFighters Assault,Action,E,N64,0.19,0.15,1997
FIFA: Road to World Cup 98,Sports,E,N64,0.58,0.15,1997
Mace: The Dark Age,Fighting,M,N64,0.19,0.15,1997
Hexen,Shooter,M,N64,0.19,0.15,1997
VMX Racing,Racing,E,PS,0.28,0.16,1997
Rage Racer,Racing,E,PS,1.17,0.16,1997
Snowboard Kids,Sports,E,N64,0.2,0.16,1997
